"city","state","lat","lon"
"Prairie Ridge","WA",47.1443,-122.1408
"Edison","WA",48.5602,-122.4311
"Packwood","WA",46.6085,-121.6702
"Wautauga Beach","WA",47.5862,-122.5482
"Harper","WA",47.5207,-122.5196
"Telma","WA",47.8432,-120.8157
"Kahlotus","WA",46.6437,-118.5565
"Mondovi","WA",47.6813,-118.0164
"Washtucna","WA",46.754,-118.3106
"Pleasant Hill","WA",47.6154,-121.9096
"Toledo","WA",46.4412,-122.8493
"Wabash","WA",47.2429,-122.0576
"Renton","WA",47.4758,-122.1905
"Chehalis","WA",46.6637,-122.9647
"Marcellus","WA",47.2335,-118.4053
"Central Valley","WA",47.6632,-122.6499
"Ralston","WA",46.9838,-118.3427
"Lake City","WA",47.1487,-122.5512
"Megler","WA",46.2509,-123.8576
"Alder","WA",46.7872,-122.2666
"Goose Prairie","WA",46.8951,-121.267
"Belvedere","WA",48.0499,-118.985
"Waverly","WA",47.3381,-117.2313
"Turner Corner","WA",47.8045,-122.1435
"Lofall","WA",47.8114,-122.6563
"Kennydale","WA",47.5207,-122.2068
"Easton","WA",47.2405,-121.1733
"Navy Yard City","WA",47.5508,-122.6655
"Mercer Island","WA",47.5625,-122.2265
"Lynnwood","WA",47.8285,-122.3034
"Coulee City","WA",47.612,-119.2892
"Douglas","WA",47.6212,-120.0048
"Centralia","WA",46.7226,-122.9695
"Colbert","WA",47.8266,-117.3419
"Bryn Mawr","WA",47.5034,-122.2329
"Silverdale","WA",47.6663,-122.6828
"Lyle","WA",45.6956,-121.2805
"Malott","WA",48.2919,-119.6955
"Mountlake Terrace","WA",47.792,-122.3076
"Ilwaco","WA",46.3108,-124.0422
"Fairwood","WA",47.4467,-122.143
"Warm Beach","WA",48.1649,-122.3442
"Thomas","WA",47.3537,-122.229
"Parker","WA",46.5022,-120.4668
"Steptoe","WA",47.0075,-117.3502
"Vail","WA",46.8451,-122.6562
"Magnolia Beach","WA",47.382,-122.4832
"Lakeview","WA",47.1593,-122.4982
